MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
679,-0.0999999999999996,2.1640625,1831,19.87890625,0,350,1,2555,-2.03125,-2.57773285742653,1.7109375,-0.75,1727,1461,1816,1526
666,-0.299999999999999,2.0625,1954,19.87890625,0,430,1,2512,-2.15625,-2.55334860691753,-0.0859375,-0.953125,1718,1470,1809,1552
691,-0.399999999999999,1.9921875,2039,19.87890625,0,500,1,2489,-2.78125,-2.56563772220592,0.0078125,-1,1726,1444,1794,1532
691,-0.699999999999999,1.8515625,2049,19.87890625,435,550,1,2499,-1.7578125,-2.58911055281242,1.8515625,-1.296875,1751,1433,1814,1555
691,-0.799999999999999,1.875,2048,19.92578125,360,560,1,2297,-1.0859375,-2.58448942852572,1.796875,-1.2890625,1730,1414,1843,1564
692,-0.799999999999999,1.9296875,2054,19.92578125,0,570,1,2247,-0.8203125,-2.56949822734601,0.9453125,-1.5234375,1706,1364,1829,1543
723,-0.799999999999999,1.8359375,2127,19.92578125,0,560,1,2336,-1.1328125,-2.56032135673343,1.8671875,-1.5703125,1768,1379,1844,1562
746,-0.799999999999999,1.8515625,2096,19.92578125,0,570,1,2251,-1.3515625,-2.53751338943676,2.1796875,-1.7109375,1779,1392,1827,1539
744,-0.799999999999999,1.875,1982,19.92578125,383,600,1,2212,-0.9921875,-2.5042022030633,1.1796875,-1.4765625,1745,1396,1819,1521
744,-0.799999999999999,1.8203125,1970,19.79296875,398,610,1,2127,-0.265625,-2.48874016768723,0.84375,-1.65625,1697,1369,1796,1490
744,-0.799999999999999,1.8359375,1957,19.79296875,398,610,1,2058,-0.2890625,-2.48855125393469,1.1484375,-1.5703125,1744,1406,1825,1521
744,-0.799999999999999,1.7578125,1950,19.79296875,0,600,1,2087,-0.7421875,-2.49396723423665,0.203125,-1.234375,1770,1413,1824,1517
709,-0.699999999999999,1.828125,1975,19.79296875,0,470,1,2073,-1.6171875,-2.51507238734646,1.0546875,-1.2578125,1775,1436,1820,1522
707,-0.5,1.9296875,2033,19.79296875,0,490,1,2032,-1.3515625,-2.52893956782586,1.4140625,-1.046875,1739,1414,1784,1505
705,-0.299999999999999,1.9765625,2273,19.7890625,0,450,1,2036,-0.5859375,-2.53265979932522,0.71875,-0.6875,1698,1381,1787,1505
695,-0.299999999999999,1.8046875,2303,19.7890625,0,450,1,1897,0.015625,-2.55143853778799,-0.25,-0.46875,1663,1349,1793,1525
695,-0.299999999999999,1.9609375,2246,19.7890625,0,450,1,1926,-0.2890625,-2.59391668601546,-0.3359375,-0.5078125,1644,1327,1781,1521
638,-0.0999999999999996,1.9921875,2193,19.7890625,0,430,1,1857,-0.8203125,-2.64170518865443,1.03125,-0.3203125,1668,1344,1770,1496
633,0,2.015625,2153,19.7890625,0,430,1,1800,-0.53125,-2.67341876363223,-0.140625,0.0703125,1697,1411,1776,1514
560,0.100000000000001,2.046875,2114,19.578125,466,0,1,1838,0.1015625,-2.71898139784939,-0.5625,-0.15625,1712,1433,1772,1510
542,0.200000000000001,2.125,2067,19.578125,552,0,1,1770,1.09375,-2.78372710477786,-0.6875,-0.15625,1736,1388,1771,1511
542,0.300000000000001,2.203125,2024,19.578125,591,0,1,1658,0.796875,-2.84789704399201,1.3359375,-0.1640625,1797,1358,1785,1519
542,0.300000000000001,2.1796875,2067,19.578125,591,0,1,1739,0.0546875,-2.8713015100785,2.140625,-0.125,1793,1384,1806,1520
542,0.4,2.1171875,2115,19.578125,528,0,1,2336,-0.7421875,-2.86317328212191,0.9296875,-0.265625,1766,1447,1796,1518
557,0.4,2.1640625,2358,19.44921875,380,522,1,2646,0.078125,-2.86596900877901,0.3203125,-0.1875,1765,1495,1813,1504
557,0.5,2.2109375,2591,19.44921875,0,568,1,3047,0.71875,-2.88338791771463,0.46875,-0.3671875,1764,1454,1807,1453
514,0.5,2.125,2383,19.44921875,0,577,1,2918,0.8125,-2.90161713640841,1.3046875,-0.5390625,1818,1411,1867,1462
557,0.4,2.15625,1739,19.44921875,0,568,1,2959,-0.1171875,-2.90472654899476,1.640625,-0.8046875,1841,1362,1841,1442
541,0.300000000000001,2.0625,1564,19.44921875,0,522,1,2963,-1.125,-2.89581178548388,1.84375,-0.9453125,1887,1417,1837,1482
514,0.200000000000001,2.1171875,1542,19.375,0,504,1,2852,-1.359375,-2.88034828663107,1.328125,-0.953125,1869,1413,1793,1475
444,0.100000000000001,2.0625,1373,19.375,0,495,1,2758,-0.640625,-2.86772874414159,1.1484375,-1.0234375,1882,1434,1814,1499
444,-0.0999999999999996,1.9375,1359,19.375,0,476,1,2713,-1.171875,-2.86319576586602,0.2265625,-1.21875,1886,1442,1841,1522
444,-0.199999999999999,1.9921875,1547,19.375,0,495,1,2556,-1.4296875,-2.87910619663622,0.03125,-1.3828125,1860,1446,1847,1529
408,-0.299999999999999,1.859375,1863,19.375,0,476,1,2691,-1.46875,-2.90076695673595,1.6953125,-1.59375,1823,1427,1852,1536
408,-0.399999999999999,1.6875,2288,19.58203125,0,370,1,2514,-1.453125,-2.89563544430717,2.2265625,-1.8046875,1781,1374,1793,1526
432,-0.699999999999999,1.453125,2646,19.58203125,398,380,1,2522,-0.921875,-2.86781775650384,2.1640625,-2.21875,1747,1350,1740,1505
432,-1.1,1.3046875,2736,19.58203125,473,470,1,2344,-0.9765625,-2.82850302611085,2.4375,-1.9296875,1752,1362,1740,1506
390,-1.5,1.1328125,2767,19.58203125,555,570,1,2377,-0.84375,-2.78932017152625,0.5859375,-1.875,1717,1357,1718,1479
390,-1.7,1.078125,2691,19.58203125,623,630,1,2306,-0.0859375,-2.79100666530403,-1.234375,-1.890625,1740,1365,1724,1518
345,-1.9,1.078125,2351,19.44140625,660,370,1,2273,0.2265625,-2.83517308792103,1.0078125,-2.0625,1745,1355,1724,1516
336,-1.9,1.125,2190,19.44140625,653,360,1,2635,0.453125,-2.8483793772812,4.234375,-1.9140625,1737,1384,1705,1478
336,-1.8,1.109375,2266,19.44140625,668,370,1,2856,0.0390625,-2.79579116363751,2.546875,-1.65625,1750,1448,1716,1451
335,-1.8,1.125,2298,19.44140625,690,580,1,2722,0.0546875,-2.74621631453217,0.4765625,-1.8203125,1758,1470,1716,1462
345,-1.6,1.328125,2188,19.44140625,690,630,1,2818,-0.0546875,-2.74296094461988,-0.40625,-1.5078125,1732,1428,1662,1469
335,-1.2,1.375,2130,19.38671875,638,590,1,2773,-0.203125,-2.77519868768193,0.578125,-1.125,1784,1460,1682,1506
386,-0.799999999999999,1.5078125,2158,19.38671875,480,520,1,2789,-1.125,-2.80130868716202,2.3828125,-1.1796875,1789,1459,1675,1489
411,-0.5,1.4453125,2251,19.38671875,420,550,1,2826,-1.3515625,-2.79061594060531,2.2421875,-1.0859375,1833,1517,1742,1496
433,-0.299999999999999,1.4453125,2251,19.38671875,360,550,1,2852,-1.5,-2.75679283224069,2.828125,-1.046875,1821,1505,1757,1460
433,-0.199999999999999,1.3984375,2142,19.38671875,0,570,1,2834,-1.6875,-2.70099738314828,2.9609375,-1.09375,1830,1507,1814,1482
433,-0.199999999999999,1.3046875,1896,19.51171875,0,510,1,2870,-1.859375,-2.63854117462191,1.4765625,-0.921875,1807,1483,1819,1495
439,-0.199999999999999,1.3203125,1745,19.51171875,0,510,1,2624,-2.4140625,-2.60550242215639,0.3203125,-0.5546875,1858,1534,1867,1561
426,-0.199999999999999,1.3515625,1597,19.51171875,0,520,1,2874,-2.6640625,-2.60728185852151,0.53125,-0.65625,1845,1529,1871,1588
421,-0.199999999999999,1.4140625,1641,19.51171875,0,470,1,2462,-2.2734375,-2.61957687776603,0.53125,-0.5859375,1796,1498,1863,1584
421,0,1.484375,1620,19.51171875,0,430,1,2669,-1.4921875,-2.63484817155484,0.75,-0.5859375,1710,1444,1825,1549
421,0,1.3984375,1611,19.69921875,0,421,1,2418,-1.34375,-2.64754421145949,1.2421875,-0.5703125,1667,1415,1816,1548
340,0.100000000000001,1.4375,1696,19.69921875,0,430,1,2418,-1.6015625,-2.64810095471693,0.9375,-0.4765625,1614,1369,1790,1530
340,0.100000000000001,1.4609375,2029,19.69921875,0,467,1,2320,-1.5546875,-2.65292728777081,-0.390625,-0.3203125,1600,1375,1814,1552
339,0.200000000000001,1.5546875,2209,19.69921875,0,485,1,2377,-0.46875,-2.6823014682428,-0.6484375,-0.5390625,1564,1344,1783,1519
290,0.200000000000001,1.484375,2215,19.69921875,0,513,1,2290,0.3046875,-2.72664367943912,0.46875,-0.4921875,1617,1377,1819,1553
224,0.200000000000001,1.40625,2287,19.54296875,0,430,1,2268,1.2109375,-2.75845756750452,0.640625,-0.453125,1618,1402,1815,1547
224,0.100000000000001,1.3984375,2288,19.54296875,405,0,1,2183,1.609375,-2.7874910751186,-0.90625,-0.515625,1620,1430,1796,1523
224,0,1.4375,2218,19.54296875,443,0,1,2168,1.6796875,-2.84133075843108,-0.4296875,-0.703125,1651,1453,1792,1535
218,0,1.5703125,2297,19.54296875,450,0,1,2087,1.75,-2.89802084623149,0.359375,-0.8203125,1693,1461,1790,1532
218,0.200000000000001,1.7421875,2284,19.54296875,450,0,1,2032,1.9453125,-2.94404535424142,-0.0625,-0.84375,1722,1456,1771,1487
211,0.4,1.796875,2146,19.28515625,0,350,1,2076,1.8828125,-2.99208664115979,0.3671875,-1.015625,1778,1501,1790,1495
211,0.600000000000001,1.84375,2014,19.28515625,0,550,1,2542,1.484375,-3.02942045579717,1.078125,-1.265625,1794,1531,1783,1478
