MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
-83,0,0.75,2016,0.33984375,360,0,0,2323,-0.7265625,-1.65695046188956,1.078125,-1.09375,1830,1494,1806,1575
-83,0,0.765625,2051,0.33984375,360,0,0,2348,-0.8046875,-1.66227011231497,1.0703125,-0.9609375,1849,1507,1817,1590
-83,-0.0999999999999996,0.78125,2061,0.33984375,360,0,0,2238,-0.828125,-1.66420407042608,1.1640625,-1.03125,1843,1512,1824,1586
-83,-0.0999999999999996,0.765625,2067,0.33984375,360,0,0,2287,-0.734375,-1.66417224505902,1.078125,-0.984375,1842,1509,1826,1591
-89,-0.0999999999999996,0.7734375,2068,0.3359375,380,0,0,2292,-0.734375,-1.66365598673243,1.140625,-1.0234375,1834,1509,1804,1581
-92,0,0.7890625,2076,0.3359375,360,0,0,2265,-0.7890625,-1.65997729099373,1.0703125,-0.953125,1835,1500,1813,1577
-92,0,0.8046875,2062,0.3359375,368,0,0,2290,-0.84375,-1.65258451089103,1.1171875,-0.9921875,1836,1500,1808,1572
-92,0,0.8125,2064,0.3359375,383,0,0,2312,-0.828125,-1.64153465081722,1.125,-0.96875,1833,1487,1800,1562
-92,0.100000000000001,0.8046875,2057,0.3359375,390,0,0,2316,-0.828125,-1.63271473164661,1.09375,-0.9296875,1839,1489,1801,1572
-92,0.100000000000001,0.8515625,2052,0.34765625,398,0,0,2313,-0.7578125,-1.6253120048637,1.0625,-0.8671875,1829,1493,1795,1569
-92,0,0.8203125,2043,0.34765625,398,0,0,2322,-0.796875,-1.6196274553953,1.1015625,-0.921875,1839,1490,1808,1579
18,0,0.78125,2115,0.34765625,390,0,0,2518,-0.75,-1.61743998190179,1.0390625,-0.890625,1855,1509,1829,1586
84,-0.0999999999999996,0.7734375,2104,0.34765625,383,0,0,2518,-0.796875,-1.6180913560401,1.1171875,-0.984375,1847,1513,1817,1587
-26,0,0.78125,2099,0.34765625,383,0,0,2555,-0.7421875,-1.61994585419965,1.1171875,-0.875,1846,1510,1816,1588
-101,0,0.78125,2087,0.33203125,368,0,0,2583,-0.65625,-1.62440345469268,1.0625,-0.921875,1846,1504,1817,1578
-101,0,0.8359375,2084,0.33203125,360,350,0,2537,-0.6328125,-1.63217308668275,1.03125,-0.890625,1837,1491,1810,1568
-101,0,0.8828125,2084,0.33203125,380,0,0,2624,-0.65625,-1.63950757872713,1.1171875,-0.9609375,1824,1487,1799,1561
-101,0,0.828125,2087,0.33203125,375,0,0,2593,-0.7109375,-1.64721701127788,1.0703125,-0.8828125,1820,1477,1796,1559
-101,-0.0999999999999996,0.796875,2080,0.33203125,375,0,0,2615,-0.75,-1.65603817375692,1.1328125,-0.9765625,1845,1501,1819,1582
-104,-0.0999999999999996,0.796875,2080,0.3203125,383,0,0,2643,-0.640625,-1.66178345081458,1.109375,-0.921875,1848,1510,1820,1583
-96,-0.0999999999999996,0.7578125,2111,0.3203125,390,0,0,2650,-0.65625,-1.6675650366099,1.1953125,-0.9765625,1844,1502,1816,1585
-96,-0.0999999999999996,0.765625,2096,0.3203125,0,0,0,2672,-0.765625,-1.67332921907354,1.140625,-0.859375,1850,1509,1818,1586
-119,-0.0999999999999996,0.734375,2096,0.3203125,0,0,0,2697,-0.7890625,-1.6747666930544,1.1875,-0.9921875,1845,1504,1817,1582
-96,-0.0999999999999996,0.7578125,2090,0.3203125,0,0,0,2679,-0.71875,-1.67511173239696,1.140625,-0.875,1846,1502,1816,1589
-84,-0.0999999999999996,0.7734375,2087,0.3046875,0,0,0,2643,-0.796875,-1.67416849019917,1.171875,-1.0234375,1844,1500,1810,1579
-84,-0.0999999999999996,0.7734375,2083,0.3046875,0,0,0,2644,-0.7421875,-1.67254732374183,1.140625,-0.9453125,1847,1518,1819,1584
-84,-0.0999999999999996,0.765625,2077,0.3046875,0,0,0,2539,-0.703125,-1.67136840138278,1.140625,-0.9765625,1836,1503,1819,1586
-84,-0.199999999999999,0.7578125,2073,0.3046875,0,0,0,2506,-0.65625,-1.67020992884701,1.140625,-0.953125,1843,1502,1821,1586
-60,-0.199999999999999,0.78125,2070,0.3046875,405,370,0,2449,-0.734375,-1.66877994974636,1.140625,-0.9765625,1824,1492,1792,1564
-59,-0.0999999999999996,0.7890625,2064,0.296875,405,380,0,2389,-0.7734375,-1.66558841975986,1.15625,-0.8984375,1825,1487,1798,1568
-51,-0.0999999999999996,0.8125,2058,0.296875,405,380,0,2329,-0.7421875,-1.65982491907739,1.1484375,-0.921875,1847,1501,1814,1577
-13,-0.0999999999999996,0.8046875,2046,0.296875,390,0,0,2271,-0.75,-1.65504460911972,1.1953125,-0.90625,1829,1493,1807,1567
-13,-0.0999999999999996,0.8125,2042,0.296875,390,0,0,2215,-0.859375,-1.65372062736419,1.2265625,-0.9609375,1833,1493,1813,1570
-13,-0.0999999999999996,0.7890625,2042,0.296875,390,350,0,2210,-0.765625,-1.651284525609,1.125,-0.90625,1825,1494,1804,1572
52,-0.0999999999999996,0.765625,2043,0.296875,383,360,0,2234,-0.7109375,-1.65007190340819,1.09375,-0.9140625,1853,1528,1826,1590
52,-0.0999999999999996,0.75,2045,0.296875,383,390,0,2247,-0.671875,-1.6509196469485,1.28125,-0.7578125,1848,1508,1818,1582
